"","first_name","last_name","email","team_name","message","message_date","anger","fear","joy","sadness","surprise"
"1","Laurie","Lanchester","llanchester59@mapy.cz","Audit Escalate","Great management and team to work with. Acme does take care of its employees and the benefits are great.",2016-03-28,0.0745133310556412,0.0446766242384911,0.33372974395752,0.0724026933312416,0.474677622318268
"2","Isador","Sneaker","isneaker1x@amazon.co.uk","Audit Escalate","All benefits of working in the corporate world.",2016-12-03,0.124579228460789,0.061694361269474,0.366337507963181,0.131185799837112,0.316203057765961
"3","Wallie","Edson","wedson1@hp.com","Audit Team 1","Work /life balance, attrition, peak!",2016-08-29,0.0612521916627884,0.143438309431076,0.618898808956146,0.101206436753273,0.0752042531967163
"4","Imogen","Hovington","ihovingtonv@hubpages.com","Audit Team 1","The easy work can become repetitive very quickly. The equipment always seems to be broken and with as much money as Acme has coming in, there's no excuse for it.",2018-07-12,0.547813415527344,0.0465920642018318,0.0615625530481339,0.310753524303436,0.0332784242928028
"5","Sacha","Meredyth","smeredyth1o@state.tx.us","Audit Team 1","Hard to innovate new products",2018-03-18,0.145399361848831,0.210046529769897,0.315465748310089,0.152162119746208,0.176926210522652
"6","Jasmine","Tuminelli","jtuminellic@etsy.com","Audit Team 1","A high level of ownership over your business also comes with great responsibility. The heavy workload in such an ambiguous environment can be difficult to manage at times. You need to draw boundaries for yourself, no one will do it for you.",2017-08-21,0.721537590026855,0.062430128455162,0.0700696185231209,0.138099402189255,0.0078632952645421
"7","Ranice","Beckey","rbeckey52@goo.gl","Audit Team 2","Challenging work, perks, enlightened senior management",2015-03-20,0.0962502211332321,0.11876292526722,0.478186845779419,0.059729091823101,0.247070878744125
"8","Linnea","Berger","lberger1i@google.fr","Audit Team 2","Not any cons from my observation.",2019-06-26,0.189384832978249,0.405218601226807,0.041401170194149,0.163020268082619,0.200975149869919
"9","Raimund","Fishlock","rfishlock3d@dailymail.co.uk","Audit Team 2","it didn't pay very well and required a lot of training so it was a lot of work.",2018-11-13,0.0705473124980927,0.0902286618947983,0.0799981355667114,0.232702016830444,0.526523888111115
"10","Janenna","Gallaher","jgallaher21@walmart.com","Audit Team 2","Great management, decently quick training for greater responsibility, seasonal jobs that turn into full time, and a great crew of people that are sticking with the company. If you were RJ hard, you can take your pick of positions.",2018-03-06,0.454020798206329,0.0620745457708836,0.204445287585258,0.22489720582962,0.0545621551573277
"11","Blanche","Gawthorpe","bgawthorpe39@google.it","Audit Team 2","You will get to learn new stuff. Good salary.",2017-06-22,0.290463447570801,0.082260400056839,0.461057305335999,0.099598616361618,0.0666201785206795
"12","Pyotr","Lantry","plantryl@aol.com","Audit Team 2","Resource rich in funds and talent, lots of hours to interact and leverage synergies, work on all aspect of project and interact with the leadership and contributors",2017-05-09,0.107082389295101,0.0749486610293388,0.599983274936676,0.124052256345749,0.093933492898941
"13","Dagmar","Mathis","dmathis3t@plala.or.jp","Corporate","none at all writing this bothers me",2018-12-03,0.777274131774902,0.0513052940368652,0.0171900149434805,0.132356464862823,0.0218740720301867
"14","Trina","Polet","tpoletb@businessweek.com","Corporate","Schedules, cafeteria, transportation and supplies.",2017-07-10,0.179839834570885,0.22811171412468,0.42963844537735,0.114817872643471,0.0475922152400017
"15","Evania","Robjents","erobjents1y@cpanel.net","Corporate","boring projects but it's fine",2017-05-03,0.316711932420731,0.105274967849255,0.0732662305235863,0.413047194480896,0.0916996747255325
